Fri Apr  1 09:37:05 CST 2022

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017a (9.2.0.538062) 64-bit (glnxa64)
                             February 23, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

audio_files_root =

    './results/test/audio/re_record/20/*.wav'

srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
slurmstepd: error: *** STEP 141275.0 ON wmc-slave-g13 CANCELLED AT 2022-04-01T09:37:30 ***
slurmstepd: error: *** JOB 141275 ON wmc-slave-g13 CANCELLED AT 2022-04-01T09:37:30 ***
3451 2 2 53 
3452 18 18 61 
3457 2 2 54 
3460 18 18 59 
3462 18 18 59 
3463 18 18 56 
3465 18 18 59 
3467 18 18 62 
3470 18 18 57 
3471 18 18 58 
3472 18 18 60 
3473 18 18 58 
3476 18 18 58 
3477 18 18 55 
3479 18 18 58 
3488 18 18 58 
3491 18 18 59 
3492 18 18 58 
3493 18 18 56 
3494 18 18 58 
3498 18 18 58 
3501 18 18 58 
3503 18 18 57 
3504 18 18 59 
3505 18 18 53 
3509 18 18 57 
3513 2 2 52 
3514 18 18 57 
3516 18 18 56 
3519 18 18 54 
3523 18 18 57 
3527 18 18 50 
3530 18 18 52 
3532 18 18 54 
3536 18 18 54 
3538 18 18 57 
3539 18 18 56 
3541 18 18 57 
3543 18 18 55 
3544 18 18 59 
3546 18 18 55 
3547 18 18 55 
3548 18 18 55 
3549 18 18 55 
3550 18 18 54 
3551 18 18 55 
3552 18 18 53 
3554 18 18 56 
3557 18 18 54 
3559 18 18 61 
3560 18 18 56 
3561 18 18 55 
3562 18 18 56 
3563 18 18 57 
3565 18 18 61 
3567 18 18 54 
3568 18 18 58 
3570 18 18 58 
3571 18 18 55 
3572 18 18 60 
3573 18 18 55 
3574 18 18 58 
3575 18 18 58 
3578 18 18 58 
3579 18 18 56 
3580 18 18 55 
3581 18 18 59 
3583 18 18 59 
3586 18 18 57 
3587 18 18 60 
3588 18 18 56 
3590 18 18 56 
3591 18 18 57 
3593 18 18 59 
3594 18 18 60 
3595 18 18 54 
3596 18 18 60 
3597 18 18 58 
3598 18 18 60 
3600 18 18 57 
3601 18 18 54 
3602 18 18 56 
3603 18 18 54 
3605 18 18 56 
3607 18 18 57 
3609 18 18 58 
3611 18 18 56 
3613 18 18 57 
3615 18 18 56 
3619 18 18 61 
3621 18 18 61 
3622 18 18 57 
3623 18 18 61 
3624 18 18 59 
3626 18 18 60 
3627 18 18 61 
3628 18 18 58 
3629 18 18 63 
3631 18 18 63 
3633 18 18 60 
3637 18 18 62 
3639 18 18 58 
3641 18 18 58 
3643 18 18 59 
3644 18 18 56 
3645 18 18 58 
3647 18 18 58 
3648 18 18 58 
3649 18 18 57 
3651 18 18 57 
3652 18 18 61 
3654 18 18 56 
3660 18 18 59 
3662 18 18 58 
3663 18 18 59 
3664 18 18 58 
3665 18 18 57 
3666 18 18 56 
3668 18 18 56 
3670 18 18 59 
3672 18 18 59 
3681 18 18 59 
3685 18 18 59 
3688 18 18 58 
3689 18 18 56 
3690 18 18 57 
3691 18 18 58 
3693 18 18 52 
3694 18 18 59 
3696 18 18 59 
3697 18 18 58 
3698 18 18 56 
3700 18 18 56 
3702 18 18 59 
3706 18 18 59 
3708 18 18 56 
3710 18 18 57 
3712 18 18 54 
3714 18 18 56 
3716 18 18 56 
3718 18 18 58 
3720 18 18 57 
3724 18 18 61 
3726 18 18 56 
3728 18 18 57 
3730 18 18 58 
3732 18 18 58 
3736 18 18 57 
3742 18 18 57 
3745 18 18 59 
3746 18 18 59 
3749 18 18 57 
3755 18 18 59 
3758 18 18 56 
3759 18 18 56 
3761 18 18 57 
3762 18 18 59 
3765 18 18 58 
3767 18 18 54 
3770 18 18 57 
3771 18 18 55 
3773 18 18 54 
3774 18 18 57 
3775 18 18 55 
3777 18 18 56 
3779 18 18 53 
3781 18 18 55 
3783 18 18 56 
3788 18 18 63 
3790 18 18 58 
3792 18 18 60 
3794 18 18 60 
3795 18 18 57 
3803 18 18 57 
3804 18 18 55 
3806 18 18 59 
3812 18 18 58 
18 24 24 53 
44 56 56 55 
48 24 24 52 
3127 11 11 54 
3139 11 11 58 
3160 11 11 56 
3180 11 11 55 
3190 11 11 58 
3197 11 11 55 
3211 43 43 57 
3212 43 43 61 
3214 43 43 56 
3269 43 43 54 
3274 43 43 53 
3276 43 43 50 
3279 43 43 52 
3284 43 43 57 
3285 43 43 54 
3286 43 43 53 
3287 41 41 53 
3292 43 43 57 
3296 43 43 53 
3297 43 43 53 
3300 43 43 56 
3301 43 43 54 
3307 43 43 55 
3309 43 43 57 
3314 43 43 55 
3317 43 43 56 
3319 43 43 54 
3321 43 43 54 
3327 43 43 53 
3329 43 43 53 
3330 43 43 56 
3332 43 43 57 
3340 43 43 54 
3342 43 43 57 
3348 43 43 53 
3349 43 43 52 
3352 43 43 57 
3358 41 41 53 
3363 43 43 57 
3365 43 43 56 
3366 43 43 56 
3367 43 43 57 
3369 43 43 59 
3371 41 41 51 
3372 43 43 55 
3373 43 43 55 
3374 43 43 56 
3375 43 43 56 
3377 41 41 49 
3379 43 43 55 
3382 43 43 56 
3383 43 43 54 
3385 43 43 52 
3386 43 43 60 
3387 43 43 58 
3395 43 43 58 
3398 43 43 57 
3399 43 43 60 
3400 43 43 55 
3402 43 43 63 
3403 43 43 59 
3406 43 43 57 
3408 43 43 53 
3409 43 43 56 
3410 43 43 57 
3412 43 43 54 
3414 43 43 56 
3415 43 43 54 
3416 43 43 56 
3417 43 43 60 
3418 43 43 53 
3419 43 43 57 
3429 43 43 52 
3432 43 43 58 
3433 43 43 55 
11 58 58 52 
14 26 26 57 
24 26 26 57 
25 26 26 54 
32 26 26 58 
35 26 26 55 
44 26 26 55 
69 58 58 60 
74 26 26 55 
77 58 58 60 
84 26 26 56 
90 26 26 59 
91 58 58 61 
93 58 58 58 
95 26 26 53 
96 26 26 51 
108 58 58 62 
112 58 58 62 
129 58 58 58 
146 26 26 56 
148 26 26 58 
156 26 26 56 
161 26 26 60 
165 26 26 54 
172 26 26 57 
178 58 58 61 
179 26 26 60 
233 26 26 57 
383 24 24 57 
421 56 56 62 
425 56 56 61 
1651 4 4 52 
1672 4 4 51 
3478 25 25 55 
3539 25 25 52 
3550 25 25 55 
3552 25 25 56 
3562 25 25 57 
3564 25 25 58 
3565 25 25 56 
3579 24 24 59 
3582 24 24 60 
3621 24 24 52 
3636 24 24 63 
3662 24 24 59 
273 34 34 58 
317 42 42 62 
365 42 42 63 
417 2 2 51 
427 2 2 55 
446 34 34 57 
454 34 34 54 
462 34 34 57 
481 34 34 53 
485 34 34 53 
488 34 34 57 
492 34 34 57 
600 50 50 63 
608 50 50 64 
611 50 50 64 
617 50 50 65 
620 50 50 63 
623 50 50 64 
625 50 50 64 
628 50 50 64 
647 50 50 66 
650 50 50 65 
656 50 50 64 
675 50 50 63 
702 50 50 65 
1376 62 62 71 
1383 62 62 71 
1384 62 62 70 
1392 62 62 68 
1394 62 62 69 
1403 62 62 69 
1405 62 62 72 
1418 62 62 67 
1437 62 62 68 
1464 62 62 64 
